"","N","y2019"
"1","Ain",598867.3
"2","Aisne",526700.3
"3","Allier",347613.4
"4","Alpes-de-Haute-Provence",166374.8
"5","Hautes-Alpes",144925.8
"6","Alpes-Maritimes",1125086.3
"7","Ardèche",329244.6
"8","Ardennes",270042.1
"9","Ariège",155044.4
"10","Aube",297362.5
"11","Aude",377525.1
"12","Aveyron",284267.2
"13","Bouches-du-Rhône",2042356
"14","Calvados",698764.3
"15","Cantal",152324.6
"16","Charente",351423.8
"17","Charente-Maritime",686774.3
"18","Cher",302622.4
"19","Corrèze",247114.2
"20","Côte-d'Or",522006.5
"21","Côtes-d'Armor",630242.8
"22","Creuse",120920.7
"23","Dordogne",422004.1
"24","Doubs",530195.2
"25","Drôme",515095.8
"26","Eure",586162.6
"27","Eure-et-Loir",419674.1
"28","Finistère",939843.3
"29","Gard",760765.1
"30","Haute-Garonne",1330497.5
"31","Gers",192115.4
"32","Gironde",1633996.1
"33","Hérault",1180446.1
"34","Ille-et-Vilaine",1052126.5
"35","Indre",224423.2
"36","Indre-et-Loire",612006
"37","Isère",1245827.2
"38","Jura",262965
"39","Landes",430815.8
"40","Loir-et-Cher",331665
"41","Loire",767035.6
"42","Haute-Loire",232665
"43","Loire-Atlantique",1399715.3
"44","Loiret",655095
"45","Lot",177715.3
"46","Lot-et-Garonne",334485.3
"47","Lozère",75583.2
"48","Maine-et-Loire",798157.3
"49","Manche",510774.1
"50","Marne",548863.5
"51","Haute-Marne",175662.2
"52","Mayenne",304566.9
"53","Meurthe-et-Moselle",673854.1
"54","Meuse",178102.5
"55","Morbihan",796483.7
"56","Moselle",933492.6
"57","Nièvre",210991.9
"58","Nord",2517171.8
"59","Oise",795533.9
"60","Orne",279573.9
"61","Pas-de-Calais",1470600.6
"62","Puy-de-Dôme",659744.4
"63","Pyrénées-Atlantiques",687536.5
"64","Hautes-Pyrénées",235475.8
"65","Pyrénées-Orientales",499743.8
"66","Bas-Rhin",1118195.6
"67","Haut-Rhin",733675.3
"68","Rhône",1769117.9
"69","Haute-Saône",237704.1
"70","Saône-et-Loire",558234.5
"71","Sarthe",562615.2
"72","Savoie",429056.7
"73","Haute-Savoie",759797.5
"74","Paris",2107588.8
"75","Seine-Maritime",1246902.8
"76","Seine-et-Marne",1334265.7
"77","Yvelines",1392458.8
"78","Deux-Sèvres",375195
"79","Somme",574011.5
"80","Tarn",399056.9
"81","Tarn-et-Garonne",260385.3
"82","Var",1132215.7
"83","Vaucluse",574654.8
"84","Vendée",702814.9
"85","Vienne",428576.1
"86","Haute-Vienne",382325.2
"87","Vosges",366023
"88","Yonne",332341.8
"89","Territoire de Belfort",136423.6
"90","Essonne",1229877.8
"91","Hauts-de-Seine",1527849.2
"92","Seine-Saint-Denis",1460624.8
"93","Val-de-Marne",1301587.3
"94","Val-d'Oise",1164315.6
"95","Guadeloupe",356471.8
"96","Martinique",330523.3
"97","Guyane",172349.2
"98","La Réunion",834091.6
"99","Mayotte",97401.2
