"","N","y2017"
"1","Ain",581146.1
"2","Aisne",526220.4
"3","Allier",348733.6
"4","Alpes-de-Haute-Provence",164414.1
"5","Hautes-Alpes",141187.4
"6","Alpes-Maritimes",1119815.5
"7","Ardèche",329054.8
"8","Ardennes",270060.7
"9","Ariège",162013.5
"10","Aube",297542.7
"11","Aude",370873.8
"12","Aveyron",280325.7
"13","Bouches-du-Rhône",2009535.3
"14","Calvados",698013.9
"15","Cantal",151362.2
"16","Charente",349663.9
"17","Charente-Maritime",671794
"18","Cher",304702.4
"19","Corrèze",246905.2
"20","Côte-d'Or",522485.3
"21","Côtes-d'Armor",620732.4
"22","Creuse",122272.9
"23","Dordogne",416703.6
"24","Doubs",528984.9
"25","Drôme",505345.4
"26","Eure",576602.2
"27","Eure-et-Loir",417764.3
"28","Finistère",928692.3
"29","Gard",743975.4
"30","Haute-Garonne",1304427.2
"31","Gers",189395.1
"32","Gironde",1593315.6
"33","Hérault",1154035.5
"34","Ille-et-Vilaine",1033915.8
"35","Indre",226933
"36","Indre-et-Loire",604765.2
"37","Isère",1225727
"38","Jura",259564.9
"39","Landes",415564.4
"40","Loir-et-Cher",330234.1
"41","Loire",761735.3
"42","Haute-Loire",229564.5
"43","Loire-Atlantique",1360845.2
"44","Loiret",650114.6
"45","Lot",174745.7
"46","Lot-et-Garonne",330153.9
"47","Lozère",75283.3
"48","Maine-et-Loire",791496.7
"49","Manche",505733.9
"50","Marne",550632.8
"51","Haute-Marne",176771.8
"52","Mayenne",300746.2
"53","Meurthe-et-Moselle",683233.8
"54","Meuse",176932.8
"55","Morbihan",774753.7
"56","Moselle",934712.4
"57","Nièvre",211539.6
"58","Nord",2524761.1
"59","Oise",794092.2
"60","Orne",281334.6
"61","Pas-de-Calais",1464239.8
"62","Puy-de-Dôme",656084.3
"63","Pyrénées-Atlantiques",674245.9
"64","Hautes-Pyrénées",233224.5
"65","Pyrénées-Orientales",485502.9
"66","Bas-Rhin",1108614.8
"67","Haut-Rhin",726424.7
"68","Rhône",1742647.3
"69","Haute-Saône",236272.7
"70","Saône-et-Loire",553634.5
"71","Sarthe",560634.2
"72","Savoie",420595.9
"73","Haute-Savoie",736627.1
"74","Paris",2105847.9
"75","Seine-Maritime",1242912.4
"76","Seine-et-Marne",1300965
"77","Yvelines",1359938.2
"78","Deux-Sèvres",369765.1
"79","Somme",572901.4
"80","Tarn",395036
"81","Tarn-et-Garonne",254494.1
"82","Var",1103605.2
"83","Vaucluse",564924.2
"84","Vendée",681894.7
"85","Vienne",428046.2
"86","Haute-Vienne",383685.3
"87","Vosges",363902.3
"88","Yonne",332491.1
"89","Territoire de Belfort",135043.7
"90","Essonne",1209616.8
"91","Hauts-de-Seine",1489198.1
"92","Seine-Saint-Denis",1427684.4
"93","Val-de-Marne",1282557.4
"94","Val-d'Oise",1141455.2
"95","Guadeloupe",361092.4
"96","Martinique",330723.3
"97","Guyane",167398.7
"98","La Réunion",817631.8
"99","Mayotte",86680.9
