"","N","y2015"
"1","Ain",570785.9
"2","Aisne",529829.5
"3","Allier",351392.5
"4","Alpes-de-Haute-Provence",162394.3
"5","Hautes-Alpes",146005.6
"6","Alpes-Maritimes",1107245.3
"7","Ardèche",325583.9
"8","Ardennes",272761.2
"9","Ariège",158894
"10","Aube",297112.5
"11","Aude",365203.9
"12","Aveyron",280715.5
"13","Bouches-du-Rhône",1988644.6
"14","Calvados",689323.1
"15","Cantal",151843
"16","Charente",350703.6
"17","Charente-Maritime",661843.6
"18","Cher",308352.2
"19","Corrèze",258393.4
"20","Côte-d'Or",517815
"21","Côtes-d'Armor",619582.5
"22","Creuse",124712.3
"23","Dordogne",419233.7
"24","Doubs",523674.8
"25","Drôme",500075.4
"26","Eure",575432.1
"27","Eure-et-Loir",420484.2
"28","Finistère",927421.6
"29","Gard",734033.9
"30","Haute-Garonne",1264917
"31","Gers",188734.8
"32","Gironde",1538845.1
"33","Hérault",1122025
"34","Ille-et-Vilaine",1011555.1
"35","Indre",230041.2
"36","Indre-et-Loire",600175.5
"37","Isère",1211836.3
"38","Jura",260093.9
"39","Landes",407144.2
"40","Loir-et-Cher",332524.8
"41","Loire",759705.1
"42","Haute-Loire",229223.1
"43","Loire-Atlantique",1328954.2
"44","Loiret",647583.7
"45","Lot",174924
"46","Lot-et-Garonne",330844.2
"47","Lozère",74942.6
"48","Maine-et-Loire",781375.8
"49","Manche",507963.3
"50","Marne",546722
"51","Haute-Marne",179130.9
"52","Mayenne",302585.3
"53","Meurthe-et-Moselle",679793
"54","Meuse",178081.7
"55","Morbihan",766242.9
"56","Moselle",932872
"57","Nièvre",214451.3
"58","Nord",2512610
"59","Oise",786291.9
"60","Orne",282763.5
"61","Pas-de-Calais",1465799
"62","Puy-de-Dôme",647284.2
"63","Pyrénées-Atlantiques",663385.4
"64","Hautes-Pyrénées",233233.6
"65","Pyrénées-Orientales",477852.8
"66","Bas-Rhin",1090854.1
"67","Haut-Rhin",722453.7
"68","Rhône",1720346.4
"69","Haute-Saône",238292.9
"70","Saône-et-Loire",558093.3
"71","Sarthe",562703.8
"72","Savoie",414815.5
"73","Haute-Savoie",717596.5
"74","Paris",2112947.6
"75","Seine-Maritime",1235461.5
"76","Seine-et-Marne",1288454
"77","Yvelines",1359397.6
"78","Deux-Sèvres",370795.2
"79","Somme",571930.5
"80","Tarn",391465.9
"81","Tarn-et-Garonne",252684.7
"82","Var",1087395
"83","Vaucluse",557313.2
"84","Vendée",673784.9
"85","Vienne",425495.8
"86","Haute-Vienne",384423.3
"87","Vosges",367331.9
"88","Yonne",336191.6
"89","Territoire de Belfort",136641.7
"90","Essonne",1187496.3
"91","Hauts-de-Seine",1485257.7
"92","Seine-Saint-Denis",1395893.6
"93","Val-de-Marne",1265296.3
"94","Val-d'Oise",1122274.7
"95","Guadeloupe",371182
"96","Martinique",315804.2
"97","Guyane",153329.2
"98","La Réunion",790860.7
"99","Mayotte",79453.1
