"","N","y2016"
"1","Ain",578316.8
"2","Aisne",529239.9
"3","Allier",351532.8
"4","Alpes-de-Haute-Provence",164043.6
"5","Hautes-Alpes",140656.5
"6","Alpes-Maritimes",1114595.2
"7","Ardèche",328234.7
"8","Ardennes",271671.1
"9","Ariège",160423.4
"10","Aube",298732.9
"11","Aude",369643
"12","Aveyron",280815.6
"13","Bouches-du-Rhône",2000005.5
"14","Calvados",695193.9
"15","Cantal",151753.2
"16","Charente",350083.8
"17","Charente-Maritime",668613.4
"18","Cher",306891.3
"19","Corrèze",249174
"20","Côte-d'Or",521355.5
"21","Côtes-d'Armor",620232.3
"22","Creuse",123540.1
"23","Dordogne",418533.8
"24","Doubs",528054.6
"25","Drôme",504395.5
"26","Eure",578232.7
"27","Eure-et-Loir",420423.2
"28","Finistère",929861.8
"29","Gard",739624.1
"30","Haute-Garonne",1286347.4
"31","Gers",189705.1
"32","Gironde",1570656.1
"33","Hérault",1139225.4
"34","Ille-et-Vilaine",1024625.3
"35","Indre",228492.4
"36","Indre-et-Loire",603776.6
"37","Isère",1221447.2
"38","Jura",260334.5
"39","Landes",411675.1
"40","Loir-et-Cher",332654.4
"41","Loire",762935.3
"42","Haute-Loire",230074.1
"43","Loire-Atlantique",1344864.8
"44","Loiret",650084.9
"45","Lot",174795.5
"46","Lot-et-Garonne",330675.4
"47","Lozère",75282.1
"48","Maine-et-Loire",787226.4
"49","Manche",507953.3
"50","Marne",548992
"51","Haute-Marne",178582.6
"52","Mayenne",302865.2
"53","Meurthe-et-Moselle",684613.1
"54","Meuse",177961.6
"55","Morbihan",771452.9
"56","Moselle",939162.7
"57","Nièvre",213430.7
"58","Nord",2523270.8
"59","Oise",792292.8
"60","Orne",283573.7
"61","Pas-de-Calais",1467509.2
"62","Puy-de-Dôme",653764.2
"63","Pyrénées-Atlantiques",669036.2
"64","Hautes-Pyrénées",234333.8
"65","Pyrénées-Orientales",482244.2
"66","Bas-Rhin",1101515
"67","Haut-Rhin",726744.4
"68","Rhône",1731257.4
"69","Haute-Saône",237592.6
"70","Saône-et-Loire",558024.5
"71","Sarthe",562655.2
"72","Savoie",418616.2
"73","Haute-Savoie",731546.4
"74","Paris",2111097.9
"75","Seine-Maritime",1240562
"76","Seine-et-Marne",1296634.6
"77","Yvelines",1358967.8
"78","Deux-Sèvres",370614.4
"79","Somme",574280.7
"80","Tarn",393676.9
"81","Tarn-et-Garonne",254215.3
"82","Var",1095425.2
"83","Vaucluse",563434.2
"84","Vendée",678294.7
"85","Vienne",427685.5
"86","Haute-Vienne",384475
"87","Vosges",366711.6
"88","Yonne",335571.7
"89","Territoire de Belfort",135144
"90","Essonne",1198086.4
"91","Hauts-de-Seine",1489328.3
"92","Seine-Saint-Denis",1416294.5
"93","Val-de-Marne",1271597.2
"94","Val-d'Oise",1133145.2
"95","Guadeloupe",360231.2
"96","Martinique",333162.4
"97","Guyane",167949.1
"98","La Réunion",809801.1
"99","Mayotte",65930.9
