"","N","y2020"
"1","Ain",612954.7
"2","Aisne",526098.5
"3","Allier",347952
"4","Alpes-de-Haute-Provence",167864.1
"5","Hautes-Alpes",145483.7
"6","Alpes-Maritimes",1144855.5
"7","Ardèche",332812.7
"8","Ardennes",272070.7
"9","Ariège",154784.4
"10","Aube",298351.2
"11","Aude",381464.1
"12","Aveyron",287016.5
"13","Bouches-du-Rhône",2065863.9
"14","Calvados",704813.7
"15","Cantal",153474
"16","Charente",352914.1
"17","Charente-Maritime",697614
"18","Cher",302661
"19","Corrèze",247284.5
"20","Côte-d'Or",524364.3
"21","Côtes-d'Armor",638052.9
"22","Creuse",120240.2
"23","Dordogne",423924.1
"24","Doubs",534852.6
"25","Drôme",522054.9
"26","Eure",588841.2
"27","Eure-et-Loir",420563.3
"28","Finistère",949522.9
"29","Gard",769633.8
"30","Haute-Garonne",1356387.1
"31","Gers",193655.5
"32","Gironde",1656656.3
"33","Hérault",1199585.4
"34","Ille-et-Vilaine",1064366.6
"35","Indre",223542
"36","Indre-et-Loire",611825.2
"37","Isère",1261494.4
"38","Jura",264542.9
"39","Landes",439545.1
"40","Loir-et-Cher",332793.5
"41","Loire",779602.6
"42","Haute-Loire",236602.5
"43","Loire-Atlantique",1420955
"44","Loiret",658104.8
"45","Lot",178455.3
"46","Lot-et-Garonne",336624.3
"47","Lozère",76553
"48","Maine-et-Loire",805586.6
"49","Manche",512774
"50","Marne",550311.4
"51","Haute-Marne",176030.3
"52","Mayenne",303945.7
"53","Meurthe-et-Moselle",678351.7
"54","Meuse",178449.8
"55","Morbihan",805863.8
"56","Moselle",939480.4
"57","Nièvre",210240.7
"58","Nord",2543349.7
"59","Oise",800891.4
"60","Orne",279743.4
"61","Pas-de-Calais",1484678.9
"62","Puy-de-Dôme",665813.3
"63","Pyrénées-Atlantiques",699956
"64","Hautes-Pyrénées",237724.6
"65","Pyrénées-Orientales",506733.1
"66","Bas-Rhin",1129143.6
"67","Haut-Rhin",739201.8
"68","Rhône",1801115.1
"69","Haute-Saône",239591.5
"70","Saône-et-Loire",562222.6
"71","Sarthe",565594.4
"72","Savoie",437083.4
"73","Haute-Savoie",776304.3
"74","Paris",2112095.6
"75","Seine-Maritime",1251991.6
"76","Seine-et-Marne",1352113
"77","Yvelines",1412116
"78","Deux-Sèvres",378424.4
"79","Somme",572420.1
"80","Tarn",402926.8
"81","Tarn-et-Garonne",264494.6
"82","Var",1155485.3
"83","Vaucluse",582873.9
"84","Vendée",714525.1
"85","Vienne",428965.8
"86","Haute-Vienne",382135
"87","Vosges",367900
"88","Yonne",333411.1
"89","Territoire de Belfort",136791
"90","Essonne",1245294.5
"91","Hauts-de-Seine",1548406.2
"92","Seine-Saint-Denis",1478480.6
"93","Val-de-Marne",1316684
"94","Val-d'Oise",1181282.1
"95","Guadeloupe",355010.6
"96","Martinique",330273.3
"97","Guyane",172670.7
"98","La Réunion",842111.9
"99","Mayotte",94335.9
